IP Address,Language,Purchase Price
149.146.147.205,el,98.14
15.160.41.51,fr,70.73
132.207.160.22,de,0.95
30.250.74.19,es,78.04
24.140.33.94,es,77.82
55.96.152.147,ru,25.15
127.252.144.18,de,88.56
224.247.97.150,pt,44.25
146.234.201.229,ru,59.54
236.198.199.8,zh,95.63
26.59.93.1,el,96.89
128.222.40.234,en,19.26
236.71.234.240,en,39.65
84.212.92.11,it,8.93
50.25.148.1,de,24.18
53.176.235.33,el,71.78
8.145.170.52,de,84.44
223.25.125.61,el,58.68
73.250.176.201,el,70.15
25.105.209.214,fr,58.39
250.71.54.180,de,30.33
125.58.66.253,it,90.93
65.106.61.141,en,33.62
25.193.145.116,ru,97.97
21.113.231.220,es,85.31
67.26.186.226,de,6.25
61.197.134.185,en,17.75
177.220.131.93,es,39.4
142.131.235.225,es,70.75
218.189.145.248,it,82.16
215.63.180.154,ru,8.43
94.176.142.201,en,94.14
196.37.134.217,pt,56.63
187.206.154.93,ru,19.63
46.198.92.108,pt,89.6
216.23.95.40,zh,97.46
85.134.58.250,zh,9.77
17.202.105.185,es,80.42
143.138.65.219,en,30.07
47.93.149.75,el,13.89
102.225.220.122,pt,87.68
246.108.171.137,ru,23.06
50.235.90.141,de,51.21
242.88.41.9,el,51.79
95.100.249.114,en,8.58
222.242.66.78,es,18.69
38.56.10.36,pt,53.99
84.195.175.153,it,97.01
13.159.43.73,ru,58.66
84.240.35.144,es,86.38
213.203.143.215,de,36.85
142.171.212.118,es,93.22
5.126.206.189,it,76.49
44.108.117.122,fr,10.41
154.150.83.22,en,82.48
227.235.89.210,pt,48.74
100.59.92.18,el,77.67
135.11.140.254,es,65.85
77.68.59.64,el,10.87
139.242.244.155,zh,87.05
197.144.142.102,de,20.43
76.32.252.85,el,17.65
237.133.183.104,de,40.4
183.221.168.62,de,44.11
218.171.210.9,it,72.45
15.202.223.202,pt,47.82
44.37.36.104,en,24.0
63.196.241.168,pt,37.51
97.111.87.31,en,76.89
163.73.80.163,pt,33.86
213.132.122.145,ru,78.91
91.227.207.58,it,83.27
149.124.11.228,pt,61.47
253.240.59.192,el,31.49
177.88.105.166,zh,43.33
79.249.162.221,zh,87.81
210.207.58.168,fr,57.34
203.156.63.185,en,20.77
8.228.197.79,el,38.88
236.219.206.197,zh,8.67
63.115.141.253,it,77.5
172.64.177.225,it,60.69
163.129.163.100,fr,49.04
222.87.50.202,it,46.45
173.31.107.196,fr,75.34
86.26.150.179,el,86.56
200.222.13.136,de,90.0
217.203.235.236,ru,46.63
51.3.147.141,zh,47.67
164.139.44.133,el,35.01
153.188.13.203,es,78.86
89.214.57.82,fr,33.92
10.172.75.245,zh,73.41
4.86.224.90,es,63.07
67.173.31.160,en,0.61
59.216.3.55,fr,19.56
200.220.84.25,fr,77.51
126.124.175.181,ru,17.2
177.234.46.245,fr,38.75
136.255.248.130,fr,50.6
58.191.1.216,el,4.36
0.88.131.174,ru,93.72
241.61.121.136,ru,91.67
119.178.136.56,it,51.37
9.232.87.10,it,71.95
135.22.243.158,en,31.73
27.11.180.35,ru,12.47
148.183.155.141,es,26.27
192.138.227.24,pt,94.08
36.123.232.211,fr,60.79
112.65.194.242,it,66.44
16.199.254.241,en,39.0
194.147.152.122,en,31.48
222.175.0.83,es,11.21
205.48.101.138,pt,77.75
200.14.21.225,en,68.63
217.100.13.4,it,93.69
126.111.34.193,en,64.15
9.61.135.107,zh,43.29
164.210.51.63,en,74.0
97.203.81.230,en,93.7
89.88.6.235,fr,54.69
64.255.151.180,el,35.79
169.221.7.42,en,49.88
55.109.114.9,pt,90.85
49.21.44.110,pt,36.28
244.230.168.191,zh,96.36
120.46.230.44,ru,63.31
255.224.209.181,es,97.75
32.13.250.23,ru,10.6
46.144.112.139,en,43.13
232.233.32.33,es,53.36
84.244.2.34,de,78.06
32.139.253.104,zh,82.45
172.158.48.91,de,16.52
126.152.5.183,it,30.08
245.22.216.6,pt,58.57
233.158.133.61,es,14.21
240.82.127.83,el,81.48
94.178.63.209,ru,6.1
59.238.104.244,fr,65.27
207.152.113.150,pt,75.94
222.137.113.121,es,93.93
222.113.233.113,de,86.43
232.85.102.25,de,29.6
61.106.102.37,fr,99.1
13.229.99.229,fr,88.59
60.198.92.190,fr,58.62
244.92.34.46,pt,73.82
87.46.58.190,en,55.68
139.207.60.93,zh,0.96
44.130.89.229,zh,10.49
168.168.118.228,fr,71.44
185.251.102.65,it,71.07
142.49.248.15,fr,16.5
239.252.210.126,ru,20.42
54.228.255.135,en,93.81
54.77.110.156,it,78.9
228.139.68.105,en,91.08
60.77.248.249,en,81.25
166.79.49.68,el,41.0
249.64.189.35,fr,29.77
88.117.63.225,es,8.31
200.42.50.127,es,23.37
118.147.133.134,en,81.21
131.59.200.188,el,95.6
103.89.18.90,en,86.88
248.30.138.238,de,82.5
244.159.126.125,zh,22.55
40.247.85.129,zh,62.09
7.99.59.95,ru,47.87
185.150.58.39,fr,65.15
119.67.13.108,es,63.24
100.80.75.62,en,25.64
155.143.88.163,es,92.68
193.77.211.25,fr,68.18
0.120.197.128,de,80.31
167.84.198.199,el,99.72
244.173.16.15,de,35.7
250.182.127.161,fr,99.79
55.197.14.87,pt,62.19
89.69.74.124,de,18.14
104.159.169.201,en,9.98
69.198.36.193,fr,0.33
73.232.201.180,el,16.46
29.118.8.218,pt,69.05
97.249.137.89,de,86.46
30.226.99.221,ru,61.61
251.184.182.128,pt,84.68
219.28.227.30,zh,3.8
127.127.238.193,el,9.94
129.181.45.29,de,16.55
8.71.89.144,es,26.17
189.183.41.220,pt,96.79
47.142.243.111,ru,83.78
122.106.62.63,el,72.72
105.83.242.124,ru,52.61
120.43.120.10,ru,28.92
18.203.130.5,ru,93.34
28.81.204.206,zh,29.39
132.254.220.76,ru,22.37
22.238.192.168,el,93.07
216.179.195.90,es,99.28
56.16.8.14,fr,78.54
118.231.8.139,el,11.61
232.104.20.24,de,74.31
41.109.170.120,pt,24.55
152.102.175.64,de,37.87
98.210.187.214,de,50.38
72.5.80.129,fr,50.49
159.164.6.186,it,20.99
101.179.255.167,ru,50.72
203.52.250.19,it,83.37
89.138.178.157,fr,5.06
6.73.100.31,fr,54.6
144.216.135.51,fr,90.95
108.191.76.105,de,9.04
64.86.191.211,el,28.67
199.49.184.54,el,73.13
10.219.129.121,es,33.58
193.255.122.152,el,48.1
158.43.20.185,es,55.76
108.182.196.107,pt,46.75
213.176.10.161,it,23.42
246.211.204.190,fr,7.42
89.104.221.205,es,34.76
58.173.18.114,fr,3.0
238.181.231.173,pt,88.86
245.128.177.196,pt,69.57
43.181.71.103,en,44.65
163.130.118.5,it,34.83
156.30.136.26,es,96.7
219.28.40.137,zh,32.28
209.237.185.167,fr,65.58
192.147.104.88,fr,93.76
15.155.230.196,ru,89.06
144.213.169.199,it,53.61
104.183.36.220,fr,97.03
25.86.207.68,el,60.25
78.22.171.99,de,2.36
226.0.106.21,de,23.4
15.133.172.227,zh,54.43
147.45.113.142,zh,92.8
46.61.37.44,es,6.37
82.158.228.131,de,40.47
43.31.130.26,es,50.55
1.132.45.80,ru,33.59
45.89.163.84,en,42.04
76.228.142.163,de,7.11
237.152.175.250,ru,40.46
78.79.180.245,de,50.66
215.121.48.88,el,11.75
75.252.51.101,it,6.78
15.16.235.139,ru,73.54
60.49.247.112,ru,50.28
249.184.1.68,zh,35.04
102.50.6.50,de,12.24
53.110.4.142,el,56.27
156.119.94.153,pt,20.44
85.14.218.75,it,76.63
237.255.5.171,el,57.1
171.31.25.84,de,66.46
220.15.167.218,it,30.2
113.145.103.190,pt,11.92
15.227.22.26,en,70.88
254.149.120.19,en,44.9
144.36.75.126,en,12.45
25.54.88.244,de,57.56
96.205.213.3,ru,63.54
208.123.222.182,ru,64.78
167.174.92.244,el,81.74
91.119.158.163,el,55.38
129.29.134.208,el,83.25
61.25.1.101,ru,57.72
49.32.141.204,de,41.15
195.0.90.33,zh,48.38
51.133.106.158,de,2.69
89.25.53.218,ru,52.9
178.122.11.211,en,85.86
56.198.96.201,pt,6.6
134.52.148.32,de,99.13
119.109.186.154,ru,61.8
56.96.60.245,pt,54.97
16.20.95.1,it,92.47
243.80.182.168,el,5.04
148.231.123.228,ru,94.1
52.63.243.104,it,27.61
204.152.227.211,el,57.01
51.65.61.40,pt,85.09
254.161.248.148,ru,45.11
148.226.148.172,pt,73.38
187.171.31.80,en,55.28
52.240.67.24,en,51.23
165.52.215.225,en,43.84
111.62.36.120,fr,53.75
231.184.179.144,fr,4.97
98.47.173.48,ru,3.58
196.77.45.135,it,4.08
144.192.61.166,en,11.74
139.233.140.91,el,14.26
121.97.93.36,el,2.91
5.184.86.212,it,62.62
48.6.16.104,ru,93.32
122.194.114.197,zh,28.62
50.126.204.71,en,97.17
185.112.140.103,ru,90.68
115.213.7.62,en,17.38
170.29.13.7,it,30.51
184.182.233.154,it,43.22
80.32.110.185,zh,35.73
248.250.29.1,ru,61.0
47.51.190.53,fr,46.91
131.39.162.189,fr,92.77
201.146.137.188,de,18.64
105.40.43.169,es,36.14
3.42.213.146,el,28.76
254.83.237.114,zh,76.49
160.157.247.242,zh,79.93
231.173.219.215,it,30.18
78.89.146.29,en,81.06
51.79.61.122,zh,7.0
206.168.65.106,pt,66.82
55.229.116.147,it,79.63
137.230.24.99,ru,92.69
137.178.193.250,zh,83.39
246.2.45.40,el,38.45
77.40.224.252,de,22.93
135.108.140.195,de,15.2
193.5.8.177,el,58.55
118.84.247.244,fr,81.66
96.24.129.179,de,45.93
45.134.218.10,el,23.28
125.131.162.249,it,35.06
201.15.8.81,ru,52.39
54.26.4.206,fr,15.73
186.186.154.8,zh,9.97
246.146.206.26,de,55.29
67.77.137.84,it,41.37
59.105.237.168,it,22.61
50.77.143.225,es,48.43
50.93.123.163,es,92.78
130.5.34.156,en,20.04
91.219.45.193,es,4.16
198.179.142.137,pt,36.74
52.73.252.156,zh,3.6
213.179.192.102,en,37.38
53.175.226.211,ru,70.97
46.137.201.7,zh,88.87
